       1 number of megabites	   1 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     0.345 GigaMultsPerSecond
       1 number of megabites	   4 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     1.033 GigaMultsPerSecond
       1 number of megabites	  16 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     2.463 GigaMultsPerSecond
       1 number of megabites	  32 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     2.581 GigaMultsPerSecond
       1 number of megabites	  64 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     2.951 GigaMultsPerSecond
       1 number of megabites	 128 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     3.416 GigaMultsPerSecond
       1 number of megabites	 256 Local Size_SIZE_threads_per_size 	      4096 num work groups 	     3.625 GigaMultsPerSecond
       1 number of megabites	 512 Local Size_SIZE_threads_per_size 	      2048 num work groups 	     3.279 GigaMultsPerSecond
       2 number of megabites	   1 Local Size_SIZE_threads_per_size 	   2097152 num work groups 	     0.358 GigaMultsPerSecond
       2 number of megabites	   4 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     1.259 GigaMultsPerSecond
       2 number of megabites	  16 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     3.144 GigaMultsPerSecond
       2 number of megabites	  32 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     4.097 GigaMultsPerSecond
       2 number of megabites	  64 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     5.277 GigaMultsPerSecond
       2 number of megabites	 128 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     5.615 GigaMultsPerSecond
       2 number of megabites	 256 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     5.312 GigaMultsPerSecond
       2 number of megabites	 512 Local Size_SIZE_threads_per_size 	      4096 num work groups 	     5.597 GigaMultsPerSecond
       4 number of megabites	   1 Local Size_SIZE_threads_per_size 	   4194304 num work groups 	     0.367 GigaMultsPerSecond
       4 number of megabites	   4 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     1.353 GigaMultsPerSecond
       4 number of megabites	  16 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     4.576 GigaMultsPerSecond
       4 number of megabites	  32 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     6.213 GigaMultsPerSecond
       4 number of megabites	  64 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     7.075 GigaMultsPerSecond
       4 number of megabites	 128 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     7.631 GigaMultsPerSecond
       4 number of megabites	 256 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     8.725 GigaMultsPerSecond
       4 number of megabites	 512 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     9.317 GigaMultsPerSecond
       5 number of megabites	   1 Local Size_SIZE_threads_per_size 	   5242880 num work groups 	     0.370 GigaMultsPerSecond
       5 number of megabites	   4 Local Size_SIZE_threads_per_size 	   1310720 num work groups 	     1.378 GigaMultsPerSecond
       5 number of megabites	  16 Local Size_SIZE_threads_per_size 	    327680 num work groups 	     4.347 GigaMultsPerSecond
       5 number of megabites	  32 Local Size_SIZE_threads_per_size 	    163840 num work groups 	     6.735 GigaMultsPerSecond
       5 number of megabites	  64 Local Size_SIZE_threads_per_size 	     81920 num work groups 	     7.188 GigaMultsPerSecond
       5 number of megabites	 128 Local Size_SIZE_threads_per_size 	     40960 num work groups 	     8.735 GigaMultsPerSecond
       5 number of megabites	 256 Local Size_SIZE_threads_per_size 	     20480 num work groups 	     9.812 GigaMultsPerSecond
       5 number of megabites	 512 Local Size_SIZE_threads_per_size 	     10240 num work groups 	     9.137 GigaMultsPerSecond
       8 number of megabites	   1 Local Size_SIZE_threads_per_size 	   8388608 num work groups 	     0.372 GigaMultsPerSecond
       8 number of megabites	   4 Local Size_SIZE_threads_per_size 	   2097152 num work groups 	     1.433 GigaMultsPerSecond
       8 number of megabites	  16 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     4.788 GigaMultsPerSecond
       8 number of megabites	  32 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     8.452 GigaMultsPerSecond
       8 number of megabites	  64 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     9.971 GigaMultsPerSecond
       8 number of megabites	 128 Local Size_SIZE_threads_per_size 	     65536 num work groups 	    11.257 GigaMultsPerSecond
       8 number of megabites	 256 Local Size_SIZE_threads_per_size 	     32768 num work groups 	    10.101 GigaMultsPerSecond
       8 number of megabites	 512 Local Size_SIZE_threads_per_size 	     16384 num work groups 	    12.864 GigaMultsPerSecond
      16 number of megabites	   1 Local Size_SIZE_threads_per_size 	  16777216 num work groups 	     0.373 GigaMultsPerSecond
      16 number of megabites	   4 Local Size_SIZE_threads_per_size 	   4194304 num work groups 	     1.449 GigaMultsPerSecond
      16 number of megabites	  16 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     5.177 GigaMultsPerSecond
      16 number of megabites	  32 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     8.289 GigaMultsPerSecond
      16 number of megabites	  64 Local Size_SIZE_threads_per_size 	    262144 num work groups 	    11.515 GigaMultsPerSecond
      16 number of megabites	 128 Local Size_SIZE_threads_per_size 	    131072 num work groups 	    13.209 GigaMultsPerSecond
      16 number of megabites	 256 Local Size_SIZE_threads_per_size 	     65536 num work groups 	    13.054 GigaMultsPerSecond
      16 number of megabites	 512 Local Size_SIZE_threads_per_size 	     32768 num work groups 	    12.357 GigaMultsPerSecond
