       1 number of megabites	   1 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     0.344 GigaMultsPerSecond
       1 number of megabites	   4 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     1.077 GigaMultsPerSecond
       1 number of megabites	  16 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     2.587 GigaMultsPerSecond
       1 number of megabites	  32 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     2.874 GigaMultsPerSecond
       1 number of megabites	  64 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     3.093 GigaMultsPerSecond
       1 number of megabites	 128 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     2.767 GigaMultsPerSecond
       1 number of megabites	 256 Local Size_SIZE_threads_per_size 	      4096 num work groups 	     3.312 GigaMultsPerSecond
       1 number of megabites	 512 Local Size_SIZE_threads_per_size 	      2048 num work groups 	     2.888 GigaMultsPerSecond
       2 number of megabites	   1 Local Size_SIZE_threads_per_size 	   2097152 num work groups 	     0.356 GigaMultsPerSecond
       2 number of megabites	   4 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     1.223 GigaMultsPerSecond
       2 number of megabites	  16 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     3.347 GigaMultsPerSecond
       2 number of megabites	  32 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     3.742 GigaMultsPerSecond
       2 number of megabites	  64 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     4.392 GigaMultsPerSecond
       2 number of megabites	 128 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     6.353 GigaMultsPerSecond
       2 number of megabites	 256 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     5.545 GigaMultsPerSecond
       2 number of megabites	 512 Local Size_SIZE_threads_per_size 	      4096 num work groups 	     4.609 GigaMultsPerSecond
       4 number of megabites	   1 Local Size_SIZE_threads_per_size 	   4194304 num work groups 	     0.367 GigaMultsPerSecond
       4 number of megabites	   4 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     1.340 GigaMultsPerSecond
       4 number of megabites	  16 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     4.234 GigaMultsPerSecond
       4 number of megabites	  32 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     5.261 GigaMultsPerSecond
       4 number of megabites	  64 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     8.219 GigaMultsPerSecond
       4 number of megabites	 128 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     7.855 GigaMultsPerSecond
       4 number of megabites	 256 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     6.725 GigaMultsPerSecond
       4 number of megabites	 512 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     8.179 GigaMultsPerSecond
       5 number of megabites	   1 Local Size_SIZE_threads_per_size 	   5242880 num work groups 	     0.370 GigaMultsPerSecond
       5 number of megabites	   4 Local Size_SIZE_threads_per_size 	   1310720 num work groups 	     1.369 GigaMultsPerSecond
       5 number of megabites	  16 Local Size_SIZE_threads_per_size 	    327680 num work groups 	     4.207 GigaMultsPerSecond
       5 number of megabites	  32 Local Size_SIZE_threads_per_size 	    163840 num work groups 	     6.397 GigaMultsPerSecond
       5 number of megabites	  64 Local Size_SIZE_threads_per_size 	     81920 num work groups 	     7.967 GigaMultsPerSecond
       5 number of megabites	 128 Local Size_SIZE_threads_per_size 	     40960 num work groups 	     8.267 GigaMultsPerSecond
       5 number of megabites	 256 Local Size_SIZE_threads_per_size 	     20480 num work groups 	     9.615 GigaMultsPerSecond
       5 number of megabites	 512 Local Size_SIZE_threads_per_size 	     10240 num work groups 	     7.621 GigaMultsPerSecond
       8 number of megabites	   1 Local Size_SIZE_threads_per_size 	   8388608 num work groups 	     0.369 GigaMultsPerSecond
       8 number of megabites	   4 Local Size_SIZE_threads_per_size 	   2097152 num work groups 	     1.420 GigaMultsPerSecond
       8 number of megabites	  16 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     4.750 GigaMultsPerSecond
       8 number of megabites	  32 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     7.519 GigaMultsPerSecond
       8 number of megabites	  64 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     9.907 GigaMultsPerSecond
       8 number of megabites	 128 Local Size_SIZE_threads_per_size 	     65536 num work groups 	    12.113 GigaMultsPerSecond
       8 number of megabites	 256 Local Size_SIZE_threads_per_size 	     32768 num work groups 	    10.734 GigaMultsPerSecond
       8 number of megabites	 512 Local Size_SIZE_threads_per_size 	     16384 num work groups 	    10.736 GigaMultsPerSecond
      16 number of megabites	   1 Local Size_SIZE_threads_per_size 	  16777216 num work groups 	     0.267 GigaMultsPerSecond
      16 number of megabites	   4 Local Size_SIZE_threads_per_size 	   4194304 num work groups 	     0.717 GigaMultsPerSecond
      16 number of megabites	  16 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     5.091 GigaMultsPerSecond
      16 number of megabites	  32 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     8.158 GigaMultsPerSecond
      16 number of megabites	  64 Local Size_SIZE_threads_per_size 	    262144 num work groups 	    11.886 GigaMultsPerSecond
      16 number of megabites	 128 Local Size_SIZE_threads_per_size 	    131072 num work groups 	    14.943 GigaMultsPerSecond
      16 number of megabites	 256 Local Size_SIZE_threads_per_size 	     65536 num work groups 	    14.514 GigaMultsPerSecond
      16 number of megabites	 512 Local Size_SIZE_threads_per_size 	     32768 num work groups 	    13.168 GigaMultsPerSecond
