       1 number of megabites	   1 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     0.328 GigaMultsPerSecond
       1 number of megabites	   4 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     0.858 GigaMultsPerSecond
       1 number of megabites	  16 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     1.673 GigaMultsPerSecond
       1 number of megabites	  32 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     1.792 GigaMultsPerSecond
       1 number of megabites	  64 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     2.263 GigaMultsPerSecond
       1 number of megabites	 128 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     2.383 GigaMultsPerSecond
       1 number of megabites	 256 Local Size_SIZE_threads_per_size 	      4096 num work groups 	     2.471 GigaMultsPerSecond
       1 number of megabites	 512 Local Size_SIZE_threads_per_size 	      2048 num work groups 	     2.242 GigaMultsPerSecond
       2 number of megabites	   1 Local Size_SIZE_threads_per_size 	   2097152 num work groups 	     0.337 GigaMultsPerSecond
       2 number of megabites	   4 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     1.136 GigaMultsPerSecond
       2 number of megabites	  16 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     2.366 GigaMultsPerSecond
       2 number of megabites	  32 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     2.684 GigaMultsPerSecond
       2 number of megabites	  64 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     3.311 GigaMultsPerSecond
       2 number of megabites	 128 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     3.783 GigaMultsPerSecond
       2 number of megabites	 256 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     3.355 GigaMultsPerSecond
       2 number of megabites	 512 Local Size_SIZE_threads_per_size 	      4096 num work groups 	     3.850 GigaMultsPerSecond
       4 number of megabites	   1 Local Size_SIZE_threads_per_size 	   4194304 num work groups 	     0.350 GigaMultsPerSecond
       4 number of megabites	   4 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     1.277 GigaMultsPerSecond
       4 number of megabites	  16 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     3.849 GigaMultsPerSecond
       4 number of megabites	  32 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     4.624 GigaMultsPerSecond
       4 number of megabites	  64 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     4.644 GigaMultsPerSecond
       4 number of megabites	 128 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     6.144 GigaMultsPerSecond
       4 number of megabites	 256 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     5.173 GigaMultsPerSecond
       4 number of megabites	 512 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     5.987 GigaMultsPerSecond
       5 number of megabites	   1 Local Size_SIZE_threads_per_size 	   5242880 num work groups 	     0.354 GigaMultsPerSecond
       5 number of megabites	   4 Local Size_SIZE_threads_per_size 	   1310720 num work groups 	     1.312 GigaMultsPerSecond
       5 number of megabites	  16 Local Size_SIZE_threads_per_size 	    327680 num work groups 	     3.710 GigaMultsPerSecond
       5 number of megabites	  32 Local Size_SIZE_threads_per_size 	    163840 num work groups 	     5.231 GigaMultsPerSecond
       5 number of megabites	  64 Local Size_SIZE_threads_per_size 	     81920 num work groups 	     6.172 GigaMultsPerSecond
       5 number of megabites	 128 Local Size_SIZE_threads_per_size 	     40960 num work groups 	     6.969 GigaMultsPerSecond
       5 number of megabites	 256 Local Size_SIZE_threads_per_size 	     20480 num work groups 	     5.544 GigaMultsPerSecond
       5 number of megabites	 512 Local Size_SIZE_threads_per_size 	     10240 num work groups 	     6.332 GigaMultsPerSecond
       8 number of megabites	   1 Local Size_SIZE_threads_per_size 	   8388608 num work groups 	     0.357 GigaMultsPerSecond
       8 number of megabites	   4 Local Size_SIZE_threads_per_size 	   2097152 num work groups 	     1.292 GigaMultsPerSecond
       8 number of megabites	  16 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     4.398 GigaMultsPerSecond
       8 number of megabites	  32 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     6.537 GigaMultsPerSecond
       8 number of megabites	  64 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     6.747 GigaMultsPerSecond
       8 number of megabites	 128 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     3.627 GigaMultsPerSecond
       8 number of megabites	 256 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     9.676 GigaMultsPerSecond
       8 number of megabites	 512 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     7.960 GigaMultsPerSecond
      16 number of megabites	   1 Local Size_SIZE_threads_per_size 	  16777216 num work groups 	     0.360 GigaMultsPerSecond
      16 number of megabites	   4 Local Size_SIZE_threads_per_size 	   4194304 num work groups 	     1.371 GigaMultsPerSecond
      16 number of megabites	  16 Local Size_SIZE_threads_per_size 	   1048576 num work groups 	     4.588 GigaMultsPerSecond
      16 number of megabites	  32 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     7.345 GigaMultsPerSecond
      16 number of megabites	  64 Local Size_SIZE_threads_per_size 	    262144 num work groups 	    10.135 GigaMultsPerSecond
      16 number of megabites	 128 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     9.844 GigaMultsPerSecond
      16 number of megabites	 256 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     9.043 GigaMultsPerSecond
      16 number of megabites	 512 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     9.350 GigaMultsPerSecond
