       1 number of megabites	  32 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     1.959 GigaMultsPerSecond
       1 number of megabites	  64 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     2.393 GigaMultsPerSecond
       1 number of megabites	 128 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     3.117 GigaMultsPerSecond
       1 number of megabites	 256 Local Size_SIZE_threads_per_size 	      4096 num work groups 	     2.431 GigaMultsPerSecond
       2 number of megabites	  32 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     2.471 GigaMultsPerSecond
       2 number of megabites	  64 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     3.259 GigaMultsPerSecond
       2 number of megabites	 128 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     4.431 GigaMultsPerSecond
       2 number of megabites	 256 Local Size_SIZE_threads_per_size 	      8192 num work groups 	     4.496 GigaMultsPerSecond
       4 number of megabites	  32 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     3.243 GigaMultsPerSecond
       4 number of megabites	  64 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     4.232 GigaMultsPerSecond
       4 number of megabites	 128 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     6.190 GigaMultsPerSecond
       4 number of megabites	 256 Local Size_SIZE_threads_per_size 	     16384 num work groups 	     5.283 GigaMultsPerSecond
       5 number of megabites	  32 Local Size_SIZE_threads_per_size 	    163840 num work groups 	     3.155 GigaMultsPerSecond
       5 number of megabites	  64 Local Size_SIZE_threads_per_size 	     81920 num work groups 	     5.006 GigaMultsPerSecond
       5 number of megabites	 128 Local Size_SIZE_threads_per_size 	     40960 num work groups 	     6.323 GigaMultsPerSecond
       5 number of megabites	 256 Local Size_SIZE_threads_per_size 	     20480 num work groups 	     5.535 GigaMultsPerSecond
       8 number of megabites	  32 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     3.498 GigaMultsPerSecond
       8 number of megabites	  64 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     5.302 GigaMultsPerSecond
       8 number of megabites	 128 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     7.504 GigaMultsPerSecond
       8 number of megabites	 256 Local Size_SIZE_threads_per_size 	     32768 num work groups 	     7.083 GigaMultsPerSecond
      16 number of megabites	  32 Local Size_SIZE_threads_per_size 	    524288 num work groups 	     3.699 GigaMultsPerSecond
      16 number of megabites	  64 Local Size_SIZE_threads_per_size 	    262144 num work groups 	     5.805 GigaMultsPerSecond
      16 number of megabites	 128 Local Size_SIZE_threads_per_size 	    131072 num work groups 	     8.313 GigaMultsPerSecond
      16 number of megabites	 256 Local Size_SIZE_threads_per_size 	     65536 num work groups 	     7.480 GigaMultsPerSecond
